1,4,US,M,,James Kvarniq,James,Kvarniq,1978-06-27,4382 Gralyn Rd,9.260106519e+09,4382,1020
2,5,US,F,,Sandrina Stephano,Sandrina,Stephano,1983-07-09,6468 Cog Hill Ct,9.26011457e+09,6468,2020
3,9,DE,F,,Cornelia Krahl,Cornelia,Krahl,1978-02-27,Kallstadterstr. 9,3.940106659e+09,9,2020
4,10,US,F,,Karen Ballinger,Karen,Ballinger,1988-10-18,425 Bryant Estates Dr,9.260129395e+09,425,1040
5,11,DE,F,,Elke Wallstab,Elke,Wallstab,1978-08-16,Carl-Zeiss-Str. 15,3.940108592e+09,15,1040
6,12,US,M,,David Black,David,Black,1973-04-12,1068 Haithcock Rd,9.260103713e+09,1068,1030
7,13,DE,M,,Markus Sepke,Markus,Sepke,1992-07-21,Iese 1,3.940105189e+09,1,2010
8,16,DE,M,,Ulrich Heyde,Ulrich,Heyde,1943-01-16,Oberstr. 61,3.940105865e+09,61,3010
9,17,US,M,,Jimmie Evans,Jimmie,Evans,1958-08-17,391 Greywood Dr,9.260123306e+09,391,1030
10,18,US,M,,Tonie Asmussen,Tonie,Asmussen,1958-02-02,117 Langtree Ln,9.260112361e+09,117,1020
11,19,DE,M,,Oliver S. F??ling,Oliver S.,F??ling,1968-02-23,Hechtsheimerstr. 18,3.940106547e+09,18,2030
12,20,US,M,,Michael Dineley,Michael,Dineley,1963-04-17,2187 Draycroft Pl,9.260118934e+09,2187,1030
13,23,US,M,,Tulio Devereaux,Tulio,Devereaux,1953-12-02,1532 Ferdilah Ln,9.260126679e+09,1532,3010
14,24,US,F,,Robyn Klem,Robyn,Klem,1963-06-02,435 Cambrian Way,9.260115784e+09,435,3010
15,27,US,F,,Cynthia Mccluney,Cynthia,Mccluney,1973-04-15,188 Grassy Creek Pl,9.26010567e+09,188,3010
16,29,AU,F,,Candy Kinsey,Candy,Kinsey,1938-07-08,21 Hotham Parade,1.60010302e+09,21,3010
17,31,US,F,,Cynthia Martinez,Cynthia,Martinez,1963-08-07,42 Arrowood Ln,9.260128428e+09,42,2020
18,33,DE,M,,Rolf Robak,Rolf,Robak,1943-02-24,M?nsterstra?e 67,3.940102376e+09,67,1030
19,34,US,M,,Alvan Goheen,Alvan,Goheen,1988-01-18,844 Glen Eden Dr,9.260111379e+09,844,1020
20,36,US,M,,Phenix Hill,Phenix,Hill,1968-04-02,417 Halstead Cir,9.260128237e+09,417,3010
21,39,US,M,,Alphone Greenwald,Alphone,Greenwald,1988-07-25,4386 Hamrick Dr,9.260123099e+09,4386,2030
22,41,AU,M,,Wendell Summersby,Wendell,Summersby,1968-12-02,9 Angourie Court,1.600101527e+09,9,1030
23,42,DE,M,,Thomas Leitmann,Thomas,Leitmann,1983-02-09,Carl Von Linde Str. 13,3.940109715e+09,13,1020
24,45,US,F,,Dianne Patchin,Dianne,Patchin,1983-05-06,7818 Angier Rd,9.260104847e+09,7818,2010
25,49,US,F,,Annmarie Leveille,Annmarie,Leveille,1988-07-16,185 Birchford Ct,9.26010451e+09,185,2030
26,50,DE,M,,Gert-Gunter Mendler,Gert-Gunter,Mendler,1938-01-16,Humboldtstr. 1,3.940105781e+09,1,2030
27,52,US,M,,Yan Kozlowski,Yan,Kozlowski,1973-04-06,1233 Hunters Crossing,9.260116235e+09,1233,1030
28,53,AU,F,,Dericka Pockran,Dericka,Pockran,1958-06-20,131 Franklin St,1.600103258e+09,131,1040
29,56,US,M,,Roy Siferd,Roy,Siferd,1938-02-01,334 Kingsmill Rd,9.260111871e+09,334,1030
30,60,US,F,,Tedi Lanzarone,Tedi,Lanzarone,1973-05-23,2429 Hunt Farms Ln,9.260101262e+09,2429,1030
